Origin,Destination,OriginLat,OriginLon,DestLat,DestLon,TRIP_TYPE,Direction,Commute_SOV,Commute_Carpool,Commute_Transit,Commute_Walk,Commute_Bicycle,Commute_Taxi,Commute_WorkAtHome,Commute_Other,Commute_Total
2502513035246C,16,42.3592225300688,-71.0546349587438,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,13,166,19,3,1,0,1,292
2502513035246D,16,42.3586672216156,-71.0543567347275,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,13,166,19,3,1,0,1,292
2502513035246E,16,42.3579775281513,-71.0554506265455,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,13,166,19,3,1,0,1,292
2502513035248A,16,42.3575800785139,-71.0573322704969,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,16,173,20,1,0,0,1,300
2502513035248A,16,42.3575800785139,-71.0573322704969,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,3,0,3,2,0,1,0,0,9
2502513035248B,16,42.358862788777,-71.0572271158143,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,16,173,20,1,0,0,1,300
2502513035248B,16,42.358862788777,-71.0572271158143,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,3,0,3,2,0,1,0,0,9
2502513035248C,16,42.3584985480226,-71.056987892843,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,16,173,20,1,0,0,1,300
2502513035248C,16,42.3584985480226,-71.056987892843,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,3,0,3,2,0,1,0,0,9
2502513035248D,16,42.3575958097756,-71.0564122809594,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,16,173,20,1,0,0,1,300
2502513035248D,16,42.3575958097756,-71.0564122809594,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,3,0,3,2,0,1,0,0,9
2502513035248E,16,42.3576143996278,-71.057887003006,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,16,173,20,1,0,0,1,300
2502513035248E,16,42.3576143996278,-71.057887003006,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,3,0,3,2,0,1,0,0,9
2502513035250A,16,42.3577831883957,-71.0596766516929,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,27,6,72,5,1,0,0,0,111
2502513035250B,16,42.3569846170418,-71.0603188231899,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,27,6,72,5,1,0,0,0,111
