STOP_ID,STOP_NAME,TOWN,TOWN_ID,ROUTE,SEQUENCE,LATITUDE,LONGITUDE
5715,Broadway @ Page St,REVERE,248,117,11,42.4050162698217,-71.0162338523551
2575,Broadway @ Garrison Ave,SOMERVILLE,274,194,2,42.4051171199159,-71.1301784251225
2715,Broadway @ Belknap St,SOMERVILLE,274,194,95,42.4052307117935,-71.1303326417804
2636,Broadway @ North St,SOMERVILLE,274,194,96,42.4059031538897,-71.1315004523613
2637,Clarendon Hill Busway,SOMERVILLE,274,194,1,42.4060987917581,-71.1323276397017
2637,Clarendon Hill Busway,SOMERVILLE,274,194,97,42.4060997917581,-71.1323276397017
5714,Broadway @ Yeamans St,REVERE,248,117,10,42.4082307561498,-71.0135046923117
5783,Beach St opp Nahant Ave,REVERE,248,117,3,42.408808459796,-70.9955599284559
5788,Beach St @ School St,REVERE,248,117,8,42.4089364338478,-71.0088565649352
5786,Beach St @ Harris St,REVERE,248,117,6,42.4090519432659,-71.0035866046144
15787,Beach St @ Cary Ave,REVERE,248,117,7,42.4092859882413,-71.0068064639836
4733,Beach St @ Upham St - Bell Circle,REVERE,248,117,5,42.4096332169897,-71.0003378376659
15782,opp 1456 North Shore Rd,REVERE,248,117,2,42.4097220701372,-70.9932132509414
4526,American Legion Hwy @ Bell Circle,REVERE,248,424,2,42.4099520421927,-71.001865646469
5784,Beach St @ VFW Pkwy,REVERE,248,117,4,42.4099532949622,-70.9988928450866
14717,American Legion Hwy @ Beach St - Bell Circle,REVERE,248,434,65,42.4100551148932,-71.0020310923335
5789,Central Ave @ Broadway,REVERE,248,117,9,42.4102600009893,-71.0117806613553
45261,133 - 135 American Legion Hwy,REVERE,248,424,3,42.4126225139147,-71.0029104985732
4716,N Shore Rd opp Wonderland Station,REVERE,248,448,59,42.4132570553092,-70.9930136758201
15795,Wonderland West Busway,REVERE,248,117,1,42.4133693217828,-70.992076610414
4512,American Legion Hwy @ Revere St,REVERE,248,424,4,42.4164425305451,-71.0032764433568
